id,original_post_id,undergrad_gpa,undergrad_gpa_out_of,grad_gpa,grad_gpa_out_of,gre_quant,gre_verbal,gre_writing,undergrad_institution,grad_institution,undergrad_major,grad_major,math_courses,phd_course_taken,research_experience,publications,work_experience_years,letters_of_rec,schools_applied,schools_accepted,schools_rejected,schools_waitlisted,funding_status,extracted_at
1,1,,,,,,,,,,,,[],False,,,,,[],[],[],[],,2025-12-10 17:32:36.072920
2,3,3.76,4.0,,,168.0,166.0,4.5,T3 LAC,,Economics,,"['Real Analysis', 'Introduction to Proofs and Sets', 'Linear Algebra', 'Multivariable Calculus', 'Probability', 'Mathematical Statistics', 'Statistical Methods II', 'Single Variable Calculus']",False,True,,4.0,"1 from B-School PI, 1 from Fed PI, 1 from B-School Co-Author (Professor in econ department of same university). All three letters are very strong. Two of the three letters are from very well know economists.","['Columbia', 'Duke', 'Michigan', 'UC Davis', 'USC', 'Northwestern Kellogg', 'NYU Stern', 'Wharton', 'UChicago', 'UChicago Booth', 'Maryland', 'Wisconsin', 'Brown', 'Stanford', 'Harvard', 'MIT', 'Stanford GSB', 'Harvard Business School', 'Northwestern', 'Harvard Kennedy', 'Minnesota', 'UChicago Harris', 'Yale', 'NYU (IR)', 'LSE', 'Princeton', 'UC Berkeley', 'UPenn', 'UCLA (IR)', 'Columbia Business School (IR)']",['Wharton'],"['Stanford', 'Harvard', 'MIT', 'Stanford GSB', 'Harvard Business School', 'Northwestern', 'Harvard Kennedy', 'Minnesota', 'UChicago Harris', 'Yale', 'NYU (IR)', 'LSE', 'Princeton', 'UC Berkeley', 'UPenn', 'UCLA (IR)', 'Columbia Business School (IR)']","['Wharton', 'UChicago', 'UChicago Booth', 'Maryland', 'Wisconsin', 'Brown']",Accepted,2025-12-10 17:32:36.072920
3,6,3.95,4.0,4.0,4.0,170.0,166.0,,T3 Canadian,,Econ & Finance,,"['Calc I', 'Calc II', 'Calc III', 'probability', 'stats', 'linear algebra', 'regressions', 'ODEs', 'grad Stochastic Calc']",False,True,,2.0,"senior Fed economist, junior Fed economist, well-known metrics prof and mentor (from u/g), grad prof in computational econ","['UT-Austin', 'UMD', 'UMich', 'USC', 'Duke', 'Northwestern', 'NYU', 'Berkeley', 'UPenn', 'Yale', 'UCSD', 'HBS', 'CBS', 'GSB', 'Stern', 'Booth', 'UCLA']","['UT-Austin', 'UMD', 'UMich', 'USC']","['NYU', 'Berkeley', 'UPenn', 'Yale', 'UCSD', 'HBS', 'CBS', 'GSB', 'Stern', 'Booth']","['Duke', 'Northwestern']",,2025-12-10 17:32:36.072920
4,7,3.97,4.0,,,170.0,157.0,4.0,Top 20 US university,,Stats,,"['Linear Algebra II', 'Analysis II']",False,True,,,thesis mentor/AP at my university/summer research mentor,"['Toronto', 'UBC', 'UChicago MAPSS', 'Wisconsin', 'UMich', 'MIT', 'Stanford', 'UChicago', 'UCB', 'UCLA', 'Vanderbilt']","['Toronto', 'UBC', 'UChicago MAPSS']","['MIT', 'Stanford', 'UChicago', 'UCB']","['Wisconsin', 'UMich']",,2025-12-10 17:32:36.072920
5,8,3.7,4.0,3.2,4.0,166.0,161.0,5.5,top European university,top European university,History and Economics,,['mathematics for economists'],False,True,,,"UG/masters full prof. who has known me for 5yrs, PI at a research internship, masters thesis advisor (postdoc)","['UNC', 'UIUC', 'UC Davis', 'Brown', 'BU', 'Aalto', 'Bocconi', 'Bonn', 'SSE', 'Zurich', 'LMU Munich']","['UNC', 'UIUC', 'UC Davis']","['Brown', 'BU', 'Aalto', 'Bocconi', 'Bonn', 'SSE', 'Zurich']",[],,2025-12-10 17:32:36.072920
6,9,4.3,5.0,3.7,5.0,169.0,166.0,3.5,Nigerian top 5 university,Nigerian top 5 university,Mathematics and Statistics,Statistics,"['Geometry', 'Calculus', 'Elements of Statistics', 'Real Analysis I', 'Abstract Algebra', 'Mathematics Methods', 'Probability Theory', 'Real Analysis II', 'Linear Algebra I', 'Methods of Mathematical Physics', 'Distribution Theory', 'Statistical Inference', 'Complex Analysis I', 'Real Analysis III', 'Ring Theory', 'Non-Parametric Analysis', 'Statistical Concepts & Methods', 'Real Analysis IV', 'Entrepreneurship Studies & Corporate Governance I', 'Linear Algebra II', 'Mathematical Methods III', 'Mathematical Modeling', 'Statistical Inference', 'Functional Analysis I', 'Design of Experiments', 'Stochastic Processes', 'Data Analysis', 'Measure Theory', 'Sample Surveys', 'Linear Programming', 'Measure-based Probability Theory']",False,True,,,"1 from economics research supervisor, two from other research fellows","['Florida', 'Missouri', 'Alabama', 'Manitoba', 'Northwestern', 'Minnesota', 'MacGill', 'Toronto', 'British Columbia', 'Frankfurt', 'Bonn']",['Manitoba'],"['Northwestern', 'Minnesota', 'MacGill', 'Toronto', 'British Columbia', 'Frankfurt', 'Bonn']",[],,2025-12-10 17:32:36.072920
7,10,4.0,4.0,,,169.0,168.0,5.5,lower-ranked state school,,Mathematics and Economics,,"['Calc I', 'Calc II', 'Calc III', 'ODE', 'Discrete Math', 'Intro to Analysis', 'Intro to Probability', 'Mathematical Statistics', 'Complex Analysis', 'Linear Algebra', 'Intro to Algebraic Structures', 'Combinatorics', 'Group Theory', 'Analysis I', 'Analysis II', 'Topology', 'Module Theory', 'Hopf Algebras', 'Differential Geometry', 'Algebraic Geometry', 'Algebraic Topology', 'Manifold Theory']",False,True,1.0,3.0,"2 from tenured economists at my university, both had connections at the schools I applied to. Another from a top trade economist I worked for on research for a year (not at my school).","['UC Davis', 'UC Boulder', 'UCSD', 'Michigan', 'Vanderbilt', 'Yale', 'MIT', 'Northwestern', 'UCLA', 'Berkeley', 'Stanford', 'Princeton', 'Chicago Booth', 'Chicago Econ', 'Harvard']","['UC Davis', 'UC Boulder']","['Yale', 'MIT', 'Northwestern', 'UCLA', 'Berkeley', 'Stanford', 'Princeton', 'Chicago Booth', 'Chicago Econ', 'Harvard']","['UCSD', 'Michigan']",,2025-12-10 17:32:36.072920
8,36,,,,,,,,,Boston University,,,[],False,,,,,[],[],[],[],unknown,2025-12-10 17:32:36.072920
9,38,,,,,,,,,Boston University,,,[],False,,,,,[],[],[],[],minimum base pay of $45K over 12 months,2025-12-10 17:32:36.072920
10,135,,,,,,,,,,,,[],False,,,,,['Stanford University'],[],['Stanford University'],[],,2025-12-10 17:32:36.072920
